pais,fecha,anio,fuente,tipo,evento,detalle,causa,ref,url,texto,dup_cross
Colombia,2020-05-21,2020,OEA Art.27,estado de emergencia,declaración/prórroga,MPC/OEA No. 650.1/2020,desastre/salud,MPC/OEA No. 650.1/2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_650_1-2020.pdf,"LA > Misión Permanente de Colombia ante la Organización de los Estados Libertad y Orden Americanos MPC/OEA No.: 650.1/2020 La Misión Permanente de Colombia presenta sus saludos a la Secretaría General — Secretaría de Asuntos Jurídicos - Departamento de Derecho Internacional, y atendiendo instrucciones de Presidencia de la República, y del Ministerio de Relaciones Exteriores, tiene a bien informar, de conformidad con las obligaciones derivadas del artículo 27 de la Convención Americana de los Derechos Humanos, y la Ley 137 de 1994, acerca de la expedición de la siguiente norma: DECRETO 677 DEL 19 DE MAYO DE 2020 ""Por el cual se modifica el Decreto Legislativo 639 del 8 de mayo de 2020 y se disponen medidas sobre el Programa de Apoyo al Empleo Formal-PAEF, en el marco del Estado de Emergencia Económica, Social y Ecológica declarado por el Decreto 637 de 202"". En el siguiente vínculo, además, encontrarán el texto completo del decreto relacionado: https://dapre .presidencia.gov.co/normativa/decretos-2020/decretos-mayo-2020 La Misión Permanente de Colombia, se vale de esta oportunidad para expresar a la Secretaría General - Secretaría de Asuntos Jurídicos, Departamento de Derecho Internacional, las seguridades de su más alta y distinguida consideración. Washington D.C. 20 de mayo de 2020 A la Honorable SECRETARÍA DE ASUNTOS JURÍDICOS Organización de Estados Americanos Ciudad REPÚBLICA DE COLOMBIA Libertad y Drden MINISTERIO DE HACIENDA Y CRÉDITO PÚBLICO DECRETO AUR INEA Por el cua",
El Salvador,2020-05-21,2020,ONU Art.4,estado de emergencia,extensión,C.N.180.2020,,C.N.180.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.180.2020-Eng.pdf,"The Secretary-General received from the Government of El Salvador a notification dated 21 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the national state of emergency, public calamity and natural disaster declared over its national territory from 19 May 2020 for up to fifteen days pursuant to Executive Decree No. 19 of 19 May 2020. (See C.N.180.2020 .TREATIES-IV.4 of 3 June 2020 for the text of the notification.)",
Colombia,2020-05-22,2020,OEA Art.27,estado de emergencia,declaración/prórroga,MPC/OEA No. 672/2020,desastre/salud,MPC/OEA No. 672/2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_672-2020.pdf,"“ Misión Permanente de Colombia ante la Organización de los Estados Americanos Libertad y Orden MPC/OEA No. 672 La Misión Permanente de Colombia presenta sus saludos a la Secretaría General — Secretaría de Asuntos Jurídicos - Departamento de Derecho Internacional, y atendiendo instrucciones de Presidencia de la República, y del Ministerio de Relaciones Exteriores, tiene a bien informar, de conformidad con las obligaciones derivadas del artículo 27 de la Convención Americana de los Derechos Humanos, y la Ley 137 de 1994, acerca de la expedición de las siguientes normas: DECRETO 682 DEL 21 DE MAYO DE 2020 ""Por el cual se establece la exención especial del impuesto sobre las ventas para el año 2020 y se dictan otras disposiciones con el propósito de promover la reactivación de la economía colombiana, en el marco del Estado de Emergencia Económica, Social y Ecológica decretado por el Decreto 637 de 2020"". DECRETO 683 DEL 21 DE MAYO DE 2020 ""Por el cual se adoptan medidas relacionadas con la aprobación de los Planes de Desarrollo Territoriales para el periodo constitucional 2020 - 2023, en el marco del Estado de Emergencia Económica, Social y Ecológica"". En el siguiente vínculo, además, encontrarán el texto completo de los decretos relacionados: https://dapre.presidencia.gov.co/normativa/decretos-2020/decretos-mayo-2020 La Misión Permanente de Colombia, se vale de esta oportunidad para expresar a la Secretaría General - Secretaría de Asuntos Jurídicos, Departamento de Derecho Inte",
El Salvador,2020-05-24,2020,ONU Art.4,estado de emergencia,declaración,C.N.182.2020,,C.N.182.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.182.2020-Eng.pdf,"The Secretary-General received from the Government of El Salvador a notification dated 24 May 2020, made under article 4 (3) of the above Covenant, informing that by decision no. 63-2020 of 22 May 2020, the Constitutional Chamber of the Supreme Court of Justice of the Republic of El Salvador ordered the suspension of Executive Decree No. 19 of 19 May 2020 and the legal reviviscence of Legislative Decree No. 593 of 14 March 2020 which shall be in force until 29 May 2020, unless a new law is adopted before this date. (See C.N.182.2020 .TREATIES-IV.4 of 5 June 2020 for the text of the notification.)",
Perú,2020-05-25,2020,ONU Art.4,estado de emergencia,extensión,C.N.181.2020,,C.N.181.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.181.2020-Eng.pdf,"The Secretary-General received from the Government of Peru a notification dated 24 May 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency from 25 May 2020 to 30 June 2020 by Supreme Decree No. 094-2020-PCM of 23 May 2020. (See C.N.181.2020 .TREATIES-IV.4 of 2 June 2020 for the text of the notification.)",
Colombia,2020-05-26,2020,OEA Art.27,estado de emergencia,declaración/prórroga,MPC/OEA No. 674.1/2020,desastre/salud,MPC/OEA No. 674.1/2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_674_1-2020.pdf,"eo > Misión Permanente de Colombia ante la Organización de los Estados Libertad y Orden Americanos MPC/OEA No. :674.1/2020 La Misión Permanente de Colombia presenta sus saludos a la Secretaría General — Secretaría de Asuntos Jurídicos - Departamento de Derecho Internacional, y atendiendo instrucciones de Presidencia de la República, y del Ministerio de Relaciones Exteriores, tiene a bien informar, de conformidad con las obligaciones derivadas del artículo 27 de la Convención Americana de los Derechos Humanos, y la Ley 137 de 1994, acerca de la expedición de las siguientes normas: Decreto 688 del 22 de mayo 2020: Por el cual se adoptan medidas tributarias transitorias en el marco del Estado de Emergencia Económica, Social y Ecológica de conformidad con el Decreto 637 de 2020. Decreto 689 del 22 de mayo de 2020: Por el cual se prorroga la vigencia del Decreto 636 del 6 de mayo de 2020 ""por el cual se imparten instrucciones en virtud de la emergencia sanitaria generada por la pandemia del Coronavirus COVID-19, y el mantenimiento del orden público”. En el siguiente vínculo, además, encontrarán el texto completo de los decretos relacionados: https://dapre .presidencia.gov.co/normativa/decretos-2020/decretos-mayo-2020 La Misión Permanente de Colombia, se vale de esta oportunidad para expresar a la Secretaría General - Secretaría de Asuntos Jurídicos, Departamento de Derecho Internacional, las seguridades de su más alta y distinguida consideración. Washington D.C. 26 de mayo de 2020",1
Paraguay,2020-05-28,2020,OEA Art.27,estado de emergencia,declaración/prórroga,Decreto N* 3442,desastre/salud,324-20-MPP-OEA,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Paraguay_nota_324-20-MPP-OEA.pdf,"A ""E GOBIERNO Pañazuay EXTERIORES m NACIONAL . Mesicn Permanente de £ Faraquey ante la Organización de las Estados Americans N* 232 Y -20/MPP/OEA Ref: Disposiciones/Emergencia Sanitaria La Misión Permanente del Paraguay ante la Organización de los Estados Americanos (OEA) saluda muy atentamente a la Secretaria General de la Organización de los Estados Americanos (OEA), en seguimiento a la nota N* 292- 20/MPP/OEA del 8 de mayo de 2020, en cumplimiento de lo establecido en el Artículo 27 (inciso 3) de la Convención Interamericana sobre Derechos Humanos, a fin de remitir en anexo para los fines pertinentes, el texto de la última disposición emitida por la Presidencia de la República del Paraguay y otros documentos de otras instituciones nacionales, en el marco de acciones emprendidas para enfrentar la emergencia sanitaria derivada de la pandemia del Coronavirus (COVID-19), cuyos título se detallan a continuación. - DECRETO 3619 DEL 24 DE MAYO DE 2020, POR EL CUAL SE ESTABLECEN MEDIDAS EN EL MARCO DE LA EMERGENCIA SANITARIA DECLARADA EN EL TERRITORIO NACIONAL POR LA PANDEMIA DEL CORONAVIRUS (COVID-19) CORRESPONDIENTES A LA FASE 2 DEL PLAN DE LEVANTAMIENTO GRADUAL DEL AISLAMIENTO PREVENTIVO GENERAL (CUARENTENA INTELIGENTE). - PLAN NACIONAL DE RESPUESTA A VIRUS RESPIRATORIOS 2020: NORMATIVAS DE PLANIFICACIÓN DEL MINISTERIO DE SALUD PÚBLICA Y BIENESTAR SOCIAL PARA DAR RESPUESTA AL NOVEL CORONAVIRUS (SARS-COV-2) CON UNA ESTRATEGIA MULTISECTORIAL CAPAZ DE MITIGAR EL IMPACTO QUE PODRÍA",
Argentina,2020-05-29,2020,OEA Art.27,suspensión de garantías,declaración/prórroga,Decreto N* 260/20,desastre/salud,71,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_71-2020.pdf,"""2020 — Año del General Manuel Belgrano” Misión Permanente de la República Argentina ante la Organización de los Estados Americanos OEA 71 La Misión Permanente de la República Argentina ante la Organización de los Estados Americanos presenta sus atentos saludos y tiene el agrado de dirigirse a la Secretaria General — Secretaria de Asuntos Jurídicos de la Organización de los Estados Americanos en seguimiento de las Notas OEA 39 del 27 de marzo y OEA 42 del 1 de abril de 2020. Al respecto, se informa que el Poder Ejecutivo Nacional ha dictado los siguientes Decretos en el marco de la emergencia sanitaria: - Decreto 355/2020 -AISLAMIENTO SOCIAL, PREVENTIVO Y OBLIGATORIO- PRORROGA, del 11 abril 2020. - Decreto 365/2020 -PROHIBICIÓN DE INGRESO AL TERRITORIO NACIONAL- PRORROGA, del 11 abril 2020. - Decreto 408/2020 -AISLAMIENTO SOCIAL, PREVENTIVO Y OBLIGATORIO- PRORROGA, del 26 abril 2020. - Decreto 409/2020 -PROHIBICIÓN DE INGRESO AL TERRITORIO NACIONAL- PRORROGA, del 26 de abril 2020. - Decreto 459/2020 AISLAMIENTO SOCIAL, PREVENTIVO Y OBLIGATORIO- PRORROGA, del 11 de mayo 2020. - Decreto 493/2020 -AISLAMIENTO SOCIAL, PREVENTIVO Y OBLIGATORIO- PRORROGA, del 24 de mayo 2020. A Secretaria General - Secretaria de Asuntos Jurídicos de la Organización de los Estados Americanos Washington D.C. La Misión Permanente de la República Argentina ante la Organización de los Estados Americanos hace propicia la oportunidad para renovar a la Secretaria General - Secretaria de Asuntos Jurídicos d",1
Guatemala,2020-05-29,2020,ONU Art.4,estado de emergencia,otro,C.N.188.2020,,C.N.188.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.188.2020-Eng.pdf,"The Secretary-General received from the Government of Guatemala a notification dated 29 May 2020, made under article 4 (3) of the above Covenant, regarding the measures restricting the application of articles 12 and 21 in the entire territory of Guatemala from 5 p.m. on Friday, 22 May to 5 a.m. on Monday, 25 May and from 5 p.m. on Friday, 29 May to 5 a.m. on Monday, 1 June. (See C.N.188.2020 .TREATIES-IV.4 of 9 June 2020 for the text of the notification.)",1
Colombia,2020-06-01,2020,OEA Art.27,estado de emergencia,declaración/prórroga,MPC/OEA No. 697/2020,,MPC/OEA No. 697/2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_697-2020.pdf,"LA > Misión Permanente de Colombia ante la Organización de los Estados Libertad y Orden Americanos MPC/OEA No. 697/2020 La Misión Permanente de Colombia presenta sus saludos a la Secretaría General — Secretaría de Asuntos Jurídicos - Departamento de Derecho Internacional, y atendiendo instrucciones de Presidencia de la República, y del Ministerio de Relaciones Exteriores, tiene a bien informar, de conformidad con las obligaciones derivadas del artículo 27 de la Convención Americana de los Derechos Humanos, y la Ley 137 de 1994, acerca de la expedición de la siguiente norma: Decreto 768 DEL 30 DE MAYO DE 2020 Por el cual se adoptan medidas sobre la prestación del servicio público de transporte y su infraestructura, en el marco del Estado de Emergencia, Económica, Social y Ecológica. En el siguiente vínculo, además, encontrarán el texto completo del decreto relacionado: https://dapre .presidencia.gov.co/normativa/decretos-2020/decretos-mayo-2020 La Misión Permanente de Colombia, se vale de esta oportunidad para expresar a la Secretaría General - Secretaría de Asuntos Jurídicos, Departamento de Derecho Internacional, las seguridades de su más alta y distinguida consideración. Washington D.C. 1 de junio de 2020 A la Honorable SECRETARÍA DE ASUNTOS JURÍDICOS Organización de Estados Americanos Ciudad",1
Argentina,2020-06-01,2020,ONU Art.4,estado de emergencia,declaración,C.N.189.2020,,C.N.189.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.189.2020-Eng.pdf,"The Secretary-General received from the Government of Argentina a notification dated 29 May 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of emergency in the entire territory of Argentina. (See C.N.189.2020 .TREATIES-IV.4 of 11 June 2020 for the text of the notification.)",1
República Dominicana,2020-06-02,2020,OEA Art.27,estado de emergencia,declaración/prórroga,MPRD-OEA 0763-2020,desastre/salud,MPRD-OEA 0763-2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Republica_Dominicana_nota_MPRD-OEA_0763-2020.pdf,"MISIÓN PERMANENTE DE LA REPÚBLICA DOMINICANA ANTE LA ORGANIZACION DE LOS ESTADOS AMERICANOS, OEA, WASHINGTON ""Año de la Consolidación de la Seguridad Alimentaria"" MPRD-OEA 0763-2020 La Misión Permanente de la República Dominicana ante la Organización de los Estados Americanos (OEA) saluda muy atentamente a la Honorable Secretaría General de la Organización de los Estados Americanos (OEA), Secretaría de Asuntos Jurídicos - Departamento de Derecho Internacional —, en ocasión de hacer referencia a las Notas núms. MPRD-OEA 0300-2020, 0315- 2020, 0365-2020, 400-2020, 489-2020, 0491-2020, 0496-2020 y 0632-2020 mediante las cuales, en cumplimiento a lo establecido en el artículo 27, inciso 3 de la Convención Americana sobre Derechos Humanos, esta Misión informó respecto a la declaración y prórroga del estado de emergencia nacional dictado en la República Dominicana debido al brote de coronavirus (covid 19). Sobre este particular, se tiene a bien notificar que mediante el Decreto núm.188-20, de fecha 1 de junio de 2020, el cual se anexa, el Excelentísimo Señor Presidente de la República Dominicana Lic. Danilo Medina, ha prorrogado el estado de emergencia nacional por doce (12) días, así como el toque de queda, de acuerdo a los días y horarios establecidos en el mismo, en virtud de la autorización otorgada por el Congreso Nacional mediante Resolución núm. 66-20 del 1 de junio de 2020. La Misión Permanente de la República Dominicana hace propicia la oportunidad para reiterar a la Honor",
Guatemala,2020-06-02,2020,ONU Art.4,estado de emergencia,extensión,C.N.191.2020,,C.N.191.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.191.2020-Eng.pdf,"The Secretary-General received from the Government of Guatemala a notification dated 1 June 2020, made under article 4 (3) of the above Covenant, regarding the extension of the state of national emergency for an additional period of thirty days. (See C.N.191.2020 .TREATIES-IV.4 of 11 June 2020 for the text of the notification.",1
Guatemala,2020-06-03,2020,OEA Art.27,estado de sitio,declaración/prórroga,NV-OEA-M4-371-2020,orden público,NV-OEA-M4-371-2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-371-2020.pdf,"y MINISTERIO DE RELACIONES EXTERIORES MISIÓN PERMANENTE DE GUATEMALA ANTE LA ORGANIZACIÓN DE LOS ESTADOS AMERICANOS (OEA), WASHINGTON, D.C. DR. ALEJANDRO GIAMMATTE! GOBIERNO de j GUATEMALA Ref. NV-OEA-M4-No.37 1-2020 La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- saluda muy atentamente a la Honorable Secretaría General de la OEA, en ocasión de trasladar la nota DIRDEHU-429-2020, de fecha 1 de junio de 2020, que dirige el Embajador Carlos Ramiro Martínez, Viceministro de Relaciones Exteriores, al Excelentísimo señor Luis Almagro Lemes, Secretario General de la OEA. La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- a través de la comunicación de mérito, hace del conocimiento que mediante el Decreto Gubernativo número 10-2020, de fecha 29 de mayo del presente año, el Doctor Alejandro Eduardo Giammattei Falla, Presidente de la República de Guatemala, en Consejo de Ministros decidió declarar Estado de Sitio en todo el territorio de los municipios de Nahualá, Santa Catarina Ixtahuacán y Santa Lucía Utatlán, del departamento de Sololá, por un plazo de treinta días a partir de la vigencia del Decreto referido. La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- agradecer a la Honorable Secretaria General de la OEA, elevar la nota de mérito a su alto destinatario. La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- hace propicia la ocasión ",1
Guatemala,2020-06-03,2020,OEA Art.27,estado de calamidad,declaración/prórroga,Decreto No. 5,desastre/salud,NV-OEA-M4-368-2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Guatemala_nota_No_NV-OEA-M4-368-2020.pdf,"y MINISTERIO DE RELACIONES EXTERIORES MISIÓN PERMANENTE DE GUATEMALA ANTE LA ORGANIZACIÓN DE LOS ESTADOS AMERICANOS (OEA), WASHINGTON, D.C. DR. ALEJANDRO GIAMMATTE! GOBIERNO de j GUATEMALA Ref. NV-OEA-M4-No.368-2020 La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- saluda muy atentamente a la Honorable Secretaría General de la OEA, en ocasión de referirse a su anterior nota verbal NV-OEA-M4-No.266-2020, y trasladar la nota DIRDEHU- 425-2020, de fecha 1 de junio de 2020, que dirige el Embajador Carlos Ramiro Martínez, Viceministro de Relaciones Exteriores, al Excelentísimo señor Luis Almagro Lemes, Secretario General de la OEA. La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- a través de la comunicación de mérito, hace del conocimiento que mediante el Decreto Gubernativo número 9-2020, de fecha 24 de mayo del presente año, el señor Alejandro Eduardo Giammettei Falla, Presidente de la República de Guatemala, prorroga el Estado de Calamidad Pública por treinta días más. Adicionalmente, se transmiten las Disposiciones Presidenciales en caso de calamidad pública y órdenes para estricto cumplimiento, giradas el pasado 31 de mayo de 2020. La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OEA- agradecer a la Honorable Secretaria General de la OEA, elevar la nota de mérito a su alto destinatario. La Misión Permanente de Guatemala ante la Organización de los Estados Americanos -OE",1
Panamá,2020-06-03,2020,OEA Art.27,estado de emergencia,declaración/prórroga,Decreto Ejecutivo No. 644,desastre/salud,PANA-OEA-7-151,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-151-2020.pdf,"MISION PERMANENTE DE PANAMA ANTE LA OEA Washington, D.C, PANA-OEA-7-151 La Misión Permanente de Panamá ante la Organización de los Estados Americanos saluda muy atentamente a la Honorable Secretaría General de la Organización de los Estados Americanos-Departamento de Derecho Internacional, en ocasión de hacer referencia a la nota PANA-OEA-7-121 del 25 de marzo de 2020, mediante la cual en cumplimiento del artículo 27, inciso 3 de la Convención Americana de los Derechos Humanos, esta Misión informó respecto a la declaración de Estado de Emergencia Nacional y el Toque de Queda decretado en la República de Panamá como consecuencia de la pandemia del COVID-19. Esta Misión, tiene a bien notificar la emisión del Decreto Ejecutivo No. 644 de 29 de mayo de 2020 “Que modifica artículos del Decreto Ejecutivo No. 507 de 24 de marzo de 2020 y dicta otras disposiciones”. El artículo 1 del Decreto Ejecutivo N*%644 modifica el artículo del Decreto Ejecutivo No. 507 de 24 de marzo de 2020 así: “se establece Toque de Queda en todo el territorio nacional a toda la población de la República de Panamá, desde las 7:00pm hasta las 5:00am, a partir del día lunes 1 de junio de 2020, manteniéndose las restricciones y excepciones contempladas en este Decreto Ejecutivo. El Artículo 2 “deja sin efecto las restricciones de movilidad de las personas, atendiendo el sexo y número de cédula de identidad personal para los nacionales y el sexo y número de pasaporte para los extranjeros que se encuentren en ter",
Guatemala,2020-06-03,2020,ONU Art.4,estado de sitio,declaración,C.N.190.2020,,C.N.190.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.190.2020-Eng.pdf,"The Secretary-General received from the Government of Guatemala a notification dated 1 June 2020, made under article 4 (3) of the above Covenant, regarding the declaration of a state of siege throughout the territory of the municipalities of Nahualá, Santa Catarina Ixtahuacán and Santa Lucía Utatlán, in the Department of Sololá, Republic of Guatemala, by Government Decree No. 10-2020 of 29 May 2020 for a period of thirty days from the date of entry into force of the said Decree. (See C.N.190.2020 .TREATIES-IV.4 of 11 June 2020 for the text of the notification.)",1
Colombia,2020-06-04,2020,OEA Art.27,estado de emergencia,declaración/prórroga,MPC/OEA No. 724/2020,desastre/salud,MPC/OEA No. 724/2020,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Colombia_nota_MPC-OEA_No_724-2020.pdf,"Misión Permanente de Colombia ante la Organización de los Estados Americanos Libertad y Orden MPC/OEA No.: 724/2020 La Misión Permanente de Colombia presenta sus saludos a la Secretaría General — Secretaría de Asuntos Jurídicos - Departamento de Derecho Internacional, y atendiendo instrucciones de Presidencia de la República, y del Ministerio de Relaciones Exteriores, tiene a bien informar, de conformidad con las obligaciones derivadas del artículo 27 de la Convención Americana de los Derechos Humanos, y la Ley 137 de 1994, acerca de la expedición de las siguientes normas: Decreto 770 del 3 de junio de 2020 Por medio del cual se adopta una medida de protección al cesante, se adoptan medidas alternativas respecto a la jornada de trabajo, se adopta una alternativa para el primer pago de la prima de servicios, se crea el Programa de Apoyo para el Pago de la Prima de Servicios PAP, Y se crea el Programa de auxilio a los trabajadores en suspensión contractual, en el marco de la Emergencia Económica, Social y Ecológica declarada mediante el Decreto 637 de 2020 Decreto 771 del 3 de junio de 2020 Por el cual se dispone una medida para garantizar el acceso a servicios de conectividad en el marco del Estado de Emergencia Económica, Social y Ecológica en todo el territorio nacional Decreto 772 del 3 de junio de 2020 Por el cual se dictan medidas especiales en materia de procesos de insolvencia, con el fin de mitigar los efectos de la emergencia social, económica y ecológica en el sector",1
Colombia,2020-06-05,2020,ONU Art.4,estado de emergencia,fin/levantamiento,C.N.200.2020,,C.N.200.2020,https://treaties.un.org/doc/Publication/CN/2020/CN.200.2020-Eng.pdf,"The Secretary-General received from the Government of Colombia a notification dated 5 June 2020, made under article 4 (3) of the above Covenant, regarding the end of the state of emergency on 4 June 2020, at the end of Decree No. 637 of 2020. (See C.N.200.2020 .TREATIES-IV.4 of 15 June 2020 for the text of the notification.)",1
Argentina,2020-06-08,2020,OEA Art.27,suspensión de garantías,declaración/prórroga,Decreto N* 297/20,desastre/salud,79,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Argentina_nota_No_79-2020.pdf,"""2020 — Año del General Manuel Belgrano” Misión Permanente de la República Argentina ante la Organización de los Estados Americanos OEA 79 La Misión Permanente de la República Argentina ante la Organización de los Estados Americanos presenta sus atentos saludos y tiene el agrado de dirigirse a la Secretaria General — Secretaria de Asuntos Jurídicos de la Organización de los Estados Americanos en seguimiento de las Notas OEA 39 del 27 de marzo, OEA 42 del 1 de abril de 2020 y OEA 71 del 29 de mayo de 2020. Al respecto, se informa que el Poder Ejecutivo Nacional ha dictado el Decreto520/2020 -DISTANCIAMIENTO SOCIAL, PREVENTIVO Y OBLIGATORIO. PRORROGA;, del 7 de junio de 2020, en el marco de la emergencia sanitaria. La Misión Permanente de la República Argentina ante la Organización de los Estados Americanos hace propicia la oportunidad para renovar a la Secretaria General - Secretaria de Asuntos Jurídicos de la Organización de los Estados Americanos las seguridades de su más distinguida consideración. Washington D.C. 8 de junio de 2020 A Secretaria General - Secretaria de Asuntos Jurídicos de la Organización de los Estados Americanos Washington D.C. BOLETÍN OFICIAL de la República Argentina https://www.boletinoficial.gob.ar/+HDetalleNorma/230245/20200608 DISTANCIAMIENTO SOCIAL, PREVENTIVO Y OBLIGATORIO Decreto 520/2020 DECNU-2020-520-APN-PTE - Aislamiento social, preventivo y obligatorio. Prórroga. Ciudad de Buenos Aires, 07/06/2020 VISTO el Expediente N* EX-2020-27946119-APN-D",1
Perú,2020-06-08,2020,OEA Art.27,estado de emergencia,declaración/prórroga,Decreto Supremo N* 094-,desastre/salud,7-5-M/054,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Peru_nota_No_7-5-M-054-2020.pdf,"A DEL Peg EY REPRESENTACIÓN PERMANENTE DEL PERÚ ANTE LA ORGANIZACIÓN DE LOS ESTADOS AMERICANOS Nota N*7-5-M /054 La Representación Permanente del Perú ante la Organización de los Estados Americanos saluda muy atentamente a la Honorable Secretaría General de la Organización de Estados Americanos -Departamento de Derecho Internacional- y tiene a bien informar que mediante Decreto Supremo N* 094- 2020-PCM, publicado el 23 de mayo de 2020, se ha dispuesto la prórroga del Estado de Emergencia Nacional declarado mediante Decreto Supremo N* 044- 2020- PCM, ampliado temporalmente mediante los Decretos Supremos N* 051- 2020-PCM , N” 064-2020-PCM, N* 075-2020-PCM y N* 083-2020-OCM; y precisado por los Decretos Supremos N* 045-2020-PCM, N* 046-2020-PCM, N* 051- 2020-PCM, N* 053-2020-PCM, N* 057-2020-PCM, N* 058-2020-PCM, N* 061-2020-PCM, N* 063-2020-PCM, N* 064-2020-PCM, N* 068-2020-PCM, N* 072-2020-PCM y N* 083-2020-PCM, por el término de treinta y siete (37) días calendario, a partir del 25 de mayo hasta el 30 de junio del presente año. Durante el Estado de Emergencia Nacional se mantienen la restricción del ejercicio de los derechos constitucionales relativos a la libertad y seguridad personales, la inviolabilidad de domicilio y la libertad de reunión y de tránsito en el territorio, comprendidos en los incisos 9), 11), 12) y 24) apartado f) del artículo 2 de la Constitución Política del Perú. La Representación Permanente del Perú hace propicia la oportunidad para reiterar a la Honora",
Panamá,2020-06-08,2020,OEA Art.27,suspensión de garantías,declaración/prórroga,Decreto Ejecutivo No. 644,desastre/salud,PANA-OEA-7-160,http://www.oas.org/es/sla/ddi/docs/tratados_multilaterales_suspencion_garantias_Panama_nota_No_7-160-2020.pdf,"MISION PERMANENTE DE PANAMA ANTE LA OEA Washington, D.C, PANA-OEA-7-160 La Misión Permanente de Panamá ante la Organización de los Estados Americanos saluda muy atentamente a la Honorable Secretaría General de la Organización de los Estados Americanos-Departamento de Derecho Internacional, en ocasión de hacer referencia a la nota PANA-OEA-7-151 del 3 de junio de 2020, mediante la cual en cumplimiento del artículo 27, inciso 3 de la Convención Americana de los Derechos Humanos, esta Misión notificó la emisión del Decreto Ejecutivo No. 644 de 29 de mayo de 2020 “Que modifica artículos del Decreto Ejecutivo No. 507 de 24 de marzo de 2020 y dicta otras disposiciones”. Esta Misión, tiene a bien informar la emisión de la Resolución No. 492 de 6 de junio de 2020 “Que restringe la movilidad ciudadana en las provincias de Panamá y Panamá Oeste, y dicta otras medidas tendientes a controlar y mitigar la propagación de la pandemia del COVID- 19. La resolución No. 492 restringe la movilidad de las personas utilizando como base para ello el sexo y número de cédula en el caso de los nacionales, y el sexo y número de pasaporte para los extranjeros que se encuentren en las provincias de Panamá y Panamá Oeste. Además establece impedimento de circulación a todas las personas los domingos, manteniendo las excepciones estipuladas, extendiendo así el toque de queda los fines de semana desde los sábados a las 5:00 p.m. hasta los lunes a las 5:00 a.m. La Misión Permanente de Panamá ante la Organizac",
